t,x,y,z
0.477,3.11925,-0.809017,6.82959
0.478,3.1195,-0.587785,6.83691
0.479,3.11975,-0.309017,6.84425
0.48,3.12,1.07809e-13,6.85158
0.481,3.12025,0.309017,6.85893
0.482,3.1205,0.587785,6.86628
0.483,3.12075,0.809017,6.87365
0.484,3.121,0.951057,6.88102
0.485,3.12125,1,6.88839
0.486,3.1215,0.951057,6.89578
0.487,3.12175,0.809017,6.90317
0.488,3.122,0.587785,6.91057
0.489,3.12225,0.309017,6.91798
0.49,3.1225,-1.2545e-13,6.9254
0.491,3.12275,-0.309017,6.93282
0.492,3.123,-0.587785,6.94025
0.493,3.12325,-0.809017,6.9477
0.494,3.1235,-0.951057,6.95514
0.495,3.12375,-1,6.9626
0.496,3.124,-0.951057,6.97006
0.497,3.12425,-0.809017,6.97754
0.498,3.1245,-0.587785,6.98502
0.499,3.12475,-0.309017,6.9925
0.5,3.125,1.14669e-13,7
0.501,3.12525,0.309017,7.0075
0.502,3.1255,0.587785,7.01502
0.503,3.12575,0.809017,7.02254
0.504,3.126,0.951057,7.03006
0.505,3.12625,1,7.0376
0.506,3.1265,0.951057,7.04514
0.507,3.12675,0.809017,7.0527
0.508,3.127,0.587785,7.06026
0.509,3.12725,0.309017,7.06783
0.51,3.1275,-1.03888e-13,7.0754
0.511,3.12775,-0.309017,7.08299
0.512,3.128,-0.587785,7.09058
0.513,3.12825,-0.809017,7.09818
0.514,3.1285,-0.951057,7.10579
0.515,3.12875,-1,7.11341
0.516,3.129,-0.951057,7.12103
0.517,3.12925,-0.809017,7.12867
0.518,3.1295,-0.587785,7.13631
0.519,3.12975,-0.309017,7.14396
0.52,3.13,1.2153e-13,7.15162
0.521,3.13025,0.309017,7.15928
0.522,3.1305,0.587785,7.16696
0.523,3.13075,0.809017,7.17464
0.524,3.131,0.951057,7.18233
0.525,3.13125,1,7.19003
0.526,3.1315,0.951057,7.19774
0.527,3.13175,0.809017,7.20546
0.528,3.132,0.587785,7.21318
0.529,3.13225,0.309017,7.22091
